[2155, 13801, 13142, 13346]
[25911, 13384, 16310, 8254]
[624, 17439, 14430, 449]
[2774, 9249, 2144, 12051]
[17038, 17038, 17038, 17038]
[6911, 20207, 20853, 22831]
[12365, 2980, 14599, 5564]
[19114, 15010, 18225, 12507]
[11275, 10350, 15891, 22366]
[23577, 13714, 25205, 18487]
[20511, 24696, 7689, 23038]
[10477, 6544, 6351, 2293]
[5052, 7442, 6179, 25896]
[2993, 17345, 7442, 19640]
[18540, 22691, 24814, 17266]
[23623, 727, 10243, 16594]
[10243, 21910, 23204, 10243]
[7459, 13321, 7007, 19109]
[23708, 2072, 16389, 21723]
[1375, 5787, 12545, 18365]
[12545, 8916, 22951, 23939]
[18065, 23836, 18580, 8471]
[13556, 6830, 9066, 12545]
[25609, 11279, 17750, 9832]
[17750, 17750, 17750, 17750]
[20421, 5052, 1658, 887]
[10310, 16389, 6264, 5052]
[11017, 17414, 15066, 482]
[10268, 24924, 4472, 19469]
[21779, 22242, 15066, 25181]
[20765, 17665, 10762, 23614]
[113, 9522, 12691, 5218]
[9572, 7689, 3909, 21508]
[5953, 23939, 9184, 12842]
[7307, 25006, 21125, 21847]
[9764, 14370, 19957, 7447]
[6934, 16032, 16032, 16032]
[18866, 18971, 8208, 25396]
[25006, 14485, 16741, 18866]
[3980, 23240, 25006, 22082]
[25006, 4102, 4952, 24753]
[6301, 23674, 20595, 24706]
[5052, 10243, 2654, 23382]
[22887, 2741, 4036, 3372]
[24753, 15003, 26127, 10243]
[10841, 25316, 18521, 13556]
[9572, 16414, 5052, 19807]
[26020, 14078, 1793, 10878]
[17990, 22691, 4013, 7307]
[1738, 20779, 9870, 10055]
[18487, 18487, 14661, 13597]
[3655, 12051, 18942, 12423]
[18408, 18408, 17038, 18408]
[16765, 10762, 13847, 5605]
[4364, 22393, 18540, 16389]
[2568, 500, 25086, 449]
[11712, 3547, 23344, 6288]
[23950, 22951, 23920, 21433]
[18487, 20148, 22917, 13929]
[5661, 18105, 20030, 6543]
[16389, 6264, 23552, 4283]
[22993, 16011, 9984, 9629]
[7689, 24023, 6700, 16389]
[8552, 12141, 9915, 19640]
[12365, 12545, 22644, 22601]
[23880, 5787, 8678, 23293]
[22691, 2654, 22598, 17655]
[3293, 23628, 25271, 25836]
[20511, 16389, 20511, 6179]
[20613, 18904, 2190, 20850]
[18540, 1488, 22601, 24924]
[21165, 11015, 18487, 5621]
[231, 10762, 5717, 14746]
[23145, 214, 615, 12627]
[16389, 6512, 10871, 3345]
[6732, 3032, 15081, 16148]
[12365, 5302, 16389, 24371]
[2044, 14807, 1653, 23452]
[16389, 6830, 13142, 8968]
[2124, 11891, 5052, 2620]
[10243, 20511, 18540, 19297]
[18751, 8541, 9924, 23417]
[18751, 17655, 16921, 17543]
[26019, 19880, 26048, 19314]
[26048, 26048, 26048, 26048]
[9030, 12599, 1258, 4868]
[12365, 1488, 13142, 7154]
[21861, 2250, 5385, 18633]
[14485, 5052, 1854, 16389]
[16332, 20373, 16967, 26]
[8335, 19489, 6610, 13801]
[19551, 17006, 11844, 11284]
[11284, 16414, 16389, 16414]
[22964, 6264, 1229, 16882]
[15477, 3804, 16994, 20373]
[21653, 14357, 8151, 492]
[3843, 7204, 11557, 3804]
[18742, 12587, 15144, 24833]
[9572, 15435, 18487, 3561]
[6533, 16278, 6033, 13384]
[19895, 6154, 10243, 5934]
[1997, 13995, 7956, 20391]
[45, 6830, 20532, 24489]
[163, 20893, 19423, 21847]
[21776, 10243, 16389, 1321]
[25663, 8398, 1520, 13556]
[12306, 14485, 3593, 10762]
[18455, 15600, 25996, 1048]
[1545, 1545, 16389, 4896]
[17924, 12980, 25379, 9482]
[6179, 24578, 12365, 23038]
[5353, 15666, 21031, 4588]
[12587, 9030, 12365, 4102]
[21178, 9869, 4755, 18778]
[18453, 6482, 13801, 7689]
[12311, 15816, 13142, 9209]
[19489, 2155, 22144, 16921]
[8161, 6064, 23246, 12054]
[10310, 16414, 339, 10762]
[21847, 18487, 4743, 5427]
[18487, 19517, 24057, 25758]
[3511, 5901, 13801, 5712]
[26, 6830, 24614, 2607]
[24592, 7882, 18215, 1696]
[1186, 26127, 13740, 25006]
[10081, 20792, 8666, 11445]
[16414, 11275, 10243, 6830]
[7045, 20122, 17187, 22457]
[7007, 20511, 20613, 16148]
[18870, 19675, 24833, 2193]
[9124, 23614, 5052, 15108]
[18065, 16694, 12545, 1058]
[23880, 17655, 1488, 12545]
[24174, 12498, 5218, 3441]
[20511, 25396, 24696, 16389]
[15400, 5672, 12422, 9993]
[25006, 10243, 16389, 10243]
[15943, 23134, 17414, 20850]
[18487, 18487, 18971, 22598]
[8369, 13333, 7893, 19578]
[12334, 21508, 21508, 10243]
[18517, 10711, 7689, 23224]
[13556, 10711, 16389, 17501]
[8047, 3345, 17746, 25660]
[17932, 16389, 23647, 12365]
[17331, 20644, 14419, 9785]
[12545, 6179, 21771, 2654]
[19445, 6482, 1855, 2527]
[19489, 11785, 13801, 17655]
[16756, 7007, 24762, 11696]
[25006, 11696, 13142, 15003]
[2193, 23693, 16976, 1958]
[9216, 13142, 1488, 24614]
[25114, 13714, 12365, 22937]
[8768, 45, 6179, 18952]
[22336, 2352, 24110, 6611]
[23637, 10762, 24371, 8851]
[19048, 6266, 19012, 11840]
[14599, 24833, 19048, 14430]
[4034, 8512, 9715, 25492]
[9715, 9715, 9715, 9715]
[17923, 18122, 9924, 19683]
[21853, 22555, 6857, 8335]
[12758, 23099, 4624, 23637, 7689]
[10310, 16389, 1000, 15477, 13276]
[14345, 24781, 12637, 2949, 17932]
[10310, 6830, 22815, 9829, 16389]
[3827, 9248, 14534, 10912, 11638]
[231, 18866, 21508, 4241, 4164]
[1347, 1186, 7844, 2980, 6774]
[12365, 14369, 21508, 12365, 385]
[14638, 3593, 3937, 20534, 4846]
[16389, 45, 7350, 17655, 824]
[17688, 24734, 5392, 15066, 16469]
[6154, 7197, 16469, 15235, 15066]
[8505, 3909, 17086, 4068, 14767]
[16414, 20511, 12545, 12545, 5787]
[14165, 22523, 20335, 15608, 24592]
[18540, 5807, 6154, 11275, 15066]
[13616, 1963, 8475, 11557, 14667]
[5634, 18140, 10762, 9572, 23770]
[8680, 13199, 19568, 25034, 15250]
[25006, 15003, 20511, 2115, 8335]
[5794, 4896, 232, 24330, 4988]
[16389, 18453, 24924, 13142, 16389]
[14317, 20772, 2009, 18579, 15585]
[18487, 20511, 18579, 16389, 17655]
[4080, 13067, 17075, 18875, 11444]
[15108, 4102, 8365, 4896, 4195]
[16563, 10412, 15516, 3119, 4793]
[15516, 15516, 4793, 15516, 6218]
[8279, 18719, 21281, 16389, 1839]
[16389, 16389, 9572, 12587, 10762]
[7475, 12803, 8879, 6610, 6830]
[231, 23351, 24814, 12545, 14265]
[4269, 9360, 1008, 23896, 593]
[9360, 4952, 14485, 24696, 12334]
[6813, 18595, 3430, 8047, 21944]
[14746, 13801, 13929, 2155, 20511]
[17569, 2404, 869, 18013, 9147]
[9889, 21012, 12365, 18208, 12365]
[14165, 9266, 16765, 10983, 7007]
[14599, 24696, 20532, 17245, 12478]
[3878, 16584, 22463, 22790, 19641]
[21968, 6700, 12545, 22790, 22790]
[6738, 25863, 23647, 13322, 8541]
[24568, 6830, 231, 17794, 20613]
[25204, 22464, 20827, 8365, 13831]
[20827, 22476, 231, 18940, 22644]
[811, 14667, 3228, 14599, 21943]
[339, 15003, 4422, 20478, 4814]
[13647, 11792, 1860, 16498, 17187]
[10762, 14351, 23038, 24559, 16389]
[3073, 13056, 21508, 20562, 18866]
[12365, 12365, 593, 24293, 14485]
[21825, 3814, 3652, 21030, 2774]
[18408, 17038, 7277, 7277, 20033]
[3843, 491, 13328, 17082, 6154]
[7442, 18540, 24001, 18540, 15235]
[23907, 6700, 17330, 19423, 22691]
[12365, 16389, 231, 24924, 13276]
[5182, 1488, 6512, 7635, 1995]
[7689, 7383, 1488, 1488, 21776]
[11102, 23293, 21012, 11241, 15003]
[45, 21847, 22644, 22177, 20511]
[21588, 5901, 10376, 4102, 13096]
[13801, 13801, 25006, 23939, 12365]
[14818, 9710, 17932, 743, 10501]
[16389, 4164, 13929, 10983, 10096]
[1499, 13493, 9017, 15170, 12324]
[12324, 6160, 13831, 7307, 7307]
[215, 6892, 17751, 1858, 18095]
[18095, 21508, 9829, 21508, 20511]
[9264, 9572, 23351, 22778, 8408]
[18487, 16310, 9572, 13801, 25006]
[14154, 14667, 18271, 11964, 6963]
[20511, 21012, 18297, 16389, 20511]
[2243, 3442, 914, 2452, 14872]
[4364, 18971, 18971, 17414, 4364]
[6830, 4511, 2952, 19423, 13060]
[10762, 21012, 13276, 20511, 12365]
[9763, 18585, 13352, 17612, 510]
[22691, 10942, 45, 18585, 24877]
[6825, 12928, 2133, 16020, 23693]
[16389, 12306, 21027, 11861, 2654]
[9306, 9937, 5661, 16486, 10130]
[16389, 14746, 6830, 23134, 12365]
